,WD,WG,SD,SG
MD,0.0821917808219178,0.0136986301369863,0.0045662100456621,0.0410958904109589
TD_ET,0.0273972602739726,0.0593607305936073,0.0136986301369863,0.0821917808219178
TD_LD,0.136986301369863,0.0228310502283105,0.0502283105022831,0.0502283105022831
TD_NT,0.228310502283105,0.0228310502283105,0.0228310502283105,0.0136986301369863
TT,0.0593607305936073,0.0502283105022831,0.0091324200913242,0.0091324200913242
