,WD,WG,SD,SG
MD_ET,0.03676470588235294,0.0,0.022058823529411766,0.029411764705882353
TD_ET,0.0661764705882353,0.029411764705882353,0.08088235294117647,0.058823529411764705
MD_LD,0.10294117647058823,0.0,0.051470588235294115,0.0661764705882353
TD_LD,0.058823529411764705,0.0,0.0661764705882353,0.03676470588235294
MD_NT,0.08088235294117647,0.0,0.0,0.007352941176470588
TD_NT,0.10294117647058823,0.0,0.03676470588235294,0.029411764705882353
TT,0.014705882352941176,0.0,0.014705882352941176,0.007352941176470588
