,WD,WG,SD,SG
MD_ET,0.0072992700729927005,0.014598540145985401,0.021897810218978103,0.06934306569343066
TD_ET,0.040145985401459854,0.0036496350364963502,0.05474452554744526,0.12408759124087591
MD_LD,0.06934306569343066,0.01824817518248175,0.029197080291970802,0.058394160583941604
TD_LD,0.04744525547445255,0.01824817518248175,0.04744525547445255,0.051094890510948905
MD_NT,0.072992700729927,0.0072992700729927005,0.032846715328467155,0.01824817518248175
TD_NT,0.09854014598540146,0.0036496350364963502,0.04744525547445255,0.021897810218978103
TT,0.014598540145985401,0.0072992700729927005,0.0,0.0
